80,2026-07-01,1L,3EHIJK,Round of 32,,Atlanta,USA,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta, USA",12:00:00
81,2026-07-01,1G,3AEHIJ,Round of 32,,Seattle,USA,Lumen Field,"Lumen Field, Seattle, USA",16:00:00
82,2026-07-01,1D,3BEFIJ,Round of 32,,San Francisco Bay Area,USA,Levi's Stadium,"Levi's Stadium, San Francisco Bay Area, USA",20:00:00
83,2026-07-02,1H,2J,Round of 32,,Los Angeles,USA,SoFi Stadium,"SoFi Stadium, Los Angeles, USA",15:00:00
84,2026-07-02,2K,2L,Round of 32,,Toronto,Canada,BMO Field,"BMO Field, Toronto, Canada",19:00:00
85,2026-07-02,1B,3EFGIJ,Round of 32,,Vancouver,Canada,BC Place,"BC Place, Vancouver, Canada",23:00:00
86,2026-07-03,2D,2G,Round of 32,,Dallas,USA,AT&T Stadium,"AT&T Stadium, Dallas, USA",14:00:00
87,2026-07-03,1J,2H,Round of 32,,Miami,USA,Hard Rock Stadium,"Hard Rock Stadium, Miami, USA",18:00:00
88,2026-07-03,1K,3DEIJL,Round of 32,,Kansas City,USA,Arrowhead Stadium,"Arrowhead Stadium, Kansas City, USA",21:30:00
89,2026-07-04,W73,W75,Round of 16,,Houston,USA,NRG Stadium,"NRG Stadium, Houston, USA",13:00:00
90,2026-07-04,W74,W77,Round of 16,,Philadelphia,USA,Lincoln Financial Field,"Lincoln Financial Field, Philadelphia, USA",17:00:00
91,2026-07-05,W76,W78,Round of 16,,New York/New Jersey,USA,MetLife Stadium,"MetLife Stadium, New York/New Jersey, USA",16:00:00
92,2026-07-05,W79,W80,Round of 16,,Mexico City,Mexico,Estadio Azteca,"Estadio Azteca, Mexico City, Mexico",20:00:00
93,2026-07-06,W83,W84,Round of 16,,Dallas,USA,AT&T Stadium,"AT&T Stadium, Dallas, USA",15:00:00
94,2026-07-06,W81,W82,Round of 16,,Seattle,USA,Lumen Field,"Lumen Field, Seattle, USA",20:00:00
95,2026-07-07,W86,W88,Round of 16,,Atlanta,USA,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta, USA",12:00:00
96,2026-07-07,W85,W87,Round of 16,,Vancouver,Canada,BC Place,"BC Place, Vancouver, Canada",16:00:00
97,2026-07-09,W89,W90,Quarterfinals,,Boston,USA,Gillette Stadium,"Gillette Stadium, Boston, USA",16:00:00
98,2026-07-10,W93,W94,Quarterfinals,,Los Angeles,USA,SoFi Stadium,"SoFi Stadium, Los Angeles, USA",15:00:00
99,2026-07-11,W91,W92,Quarterfinals,,Miami,USA,Hard Rock Stadium,"Hard Rock Stadium, Miami, USA",17:00:00
100,2026-07-11,W95,W100,Quarterfinals,,Kansas City,USA,Arrowhead Stadium,"Arrowhead Stadium, Kansas City, USA",21:00:00
101,2026-07-14,W97,W98,Semifinals,,Dallas,USA,AT&T Stadium,"AT&T Stadium, Dallas, USA",15:00:00
102,2026-07-15,W99,W100,Semifinals,,Atlanta,USA,Mercedes-Benz Stadium,"Mercedes-Benz Stadium, Atlanta, USA",15:00:00
103,2026-07-18,RU101,RU102,Third Place Playoff,,Miami,USA,Hard Rock Stadium,"Hard Rock Stadium, Miami, USA",17:00:00
104,2026-07-19,W101,W102,Final,,New York/New Jersey,USA,MetLife Stadium,"MetLife Stadium, New York/New Jersey, USA",15:00:00
